country,data,percentage,year
China,75,0.2%,1970
France,36,0.1%,1970
India,0,0.0%,1970
Israel,8,0.0%,1970
Pakistan,0,0.0%,1970
Russia,11736,30.7%,1970
United Kingdom,375,1.0%,1970
United States,26008,68.0%,1970
